1000 10
0 0 15.000000
0 1 35.000000
0 2 11.000000
0 3 44.000000
0 4 31.000000
0 5 30.000000
0 6 46.000000
0 7 13.000000
0 8 3.000000
0 9 6.000000
1 0 46.000000
1 1 5.000000
1 2 17.000000
1 3 40.000000
1 4 48.000000
1 5 28.000000
1 6 9.000000
1 7 23.000000
1 8 31.000000
1 9 11.000000
2 0 49.000000
2 1 40.000000
2 2 9.000000
2 3 11.000000
2 4 32.000000
2 5 7.000000
2 6 42.000000
2 7 28.000000
2 8 8.000000
2 9 18.000000
3 0 3.000000
3 1 24.000000
3 2 3.000000
3 3 16.000000
3 4 33.000000
3 5 44.000000
3 6 30.000000
3 7 14.000000
3 8 38.000000
3 9 4.000000
4 0 13.000000
4 1 35.000000
4 2 22.000000
4 3 44.000000
4 4 2.000000
4 5 6.000000
4 6 27.000000
4 7 46.000000
4 8 6.000000
4 9 9.000000
5 0 42.000000
5 1 9.000000
5 2 17.000000
5 3 9.000000
5 4 20.000000
5 5 49.000000
5 6 45.000000
5 7 16.000000
5 8 12.000000
5 9 1.000000
6 0 11.000000
6 1 1.000000
6 2 11.000000
6 3 0.000000
6 4 20.000000
6 5 37.000000
6 6 48.000000
6 7 13.000000
6 8 38.000000
6 9 8.000000
7 0 37.000000
7 1 10.000000
7 2 25.000000
7 3 15.000000
7 4 29.000000
7 5 29.000000
7 6 24.000000
7 7 32.000000
7 8 4.000000
7 9 17.000000
8 0 7.000000
8 1 35.000000
8 2 5.000000
8 3 32.000000
8 4 19.000000
8 5 46.000000
8 6 24.000000
8 7 20.000000
8 8 17.000000
8 9 35.000000
9 0 36.000000
9 1 36.000000
9 2 6.000000
9 3 25.000000
9 4 11.000000
9 5 29.000000
9 6 7.000000
9 7 42.000000
9 8 48.000000
9 9 40.000000
10 0 2.000000
10 1 33.000000
10 2 37.000000
10 3 42.000000
10 4 45.000000
10 5 40.000000
10 6 45.000000
10 7 5.000000
10 8 21.000000
10 9 3.000000
11 0 10.000000
11 1 17.000000
11 2 19.000000
11 3 18.000000
11 4 46.000000
11 5 12.000000
11 6 17.000000
11 7 10.000000
11 8 1.000000
11 9 47.000000
12 0 41.000000
12 1 18.000000
12 2 49.000000
12 3 27.000000
12 4 24.000000
12 5 42.000000
12 6 34.000000
12 7 43.000000
12 8 12.000000
12 9 22.000000
13 0 39.000000
13 1 18.000000
13 2 36.000000
13 3 11.000000
13 4 32.000000
13 5 3.000000
13 6 2.000000
13 7 24.000000
13 8 31.000000
13 9 3.000000
14 0 22.000000
14 1 26.000000
14 2 20.000000
14 3 8.000000
14 4 26.000000
14 5 33.000000
14 6 20.000000
14 7 16.000000
14 8 49.000000
14 9 12.000000
15 0 4.000000
15 1 39.000000
15 2 7.000000
15 3 40.000000
15 4 38.000000
15 5 37.000000
15 6 21.000000
15 7 0.000000
15 8 22.000000
15 9 34.000000
16 0 42.000000
16 1 37.000000
16 2 37.000000
16 3 38.000000
16 4 27.000000
16 5 24.000000
16 6 22.000000
16 7 40.000000
16 8 11.000000
16 9 28.000000
17 0 41.000000
17 1 43.000000
17 2 17.000000
17 3 21.000000
17 4 29.000000
17 5 31.000000
17 6 4.000000
17 7 30.000000
17 8 19.000000
17 9 20.000000
18 0 19.000000
